Longitude,Latitude,ScientificName,SiteVisitID,StartDate,EndDate,SiteID,SiteCode,LocalityDetails,LocationPrecision,ProjectID,ProjectName,OrganisationID,OrganisationName,OrganisationAcronym
152.6551299,-26.23659038,Phascolarctos cinereus,2125356,23/11/2022,23/11/2022,1830324,INCIDENTAL,Not recorded,5,17619,Koalas,2621,Gympie Regional Council,GRC
152.6593339,-26.23747838,Phascolarctos cinereus,2125358,20/12/2022,20/12/2022,1830326,INCIDENTAL,Not recorded,10,17619,Koalas,2621,Gympie Regional Council,GRC
152.8566739,-26.13176845,Phascolarctos cinereus,2125270,2/4/2022,2/4/2022,1830195,INCIDENTAL,Not recorded,10,17619,Koalas,2621,Gympie Regional Council,GRC
152.746644,-26.48273141,Phascolarctos cinereus,2125273,5/6/2022,5/6/2022,1830197,INCIDENTAL,Not recorded,20,17619,Koalas,2621,Gympie Regional Council,GRC
152.4260358,-26.24203842,Phascolarctos cinereus,2125274,23/8/2022,23/8/2022,1830198,INCIDENTAL,Not recorded,10,17619,Koalas,2621,Gympie Regional Council,GRC
152.7747513,-26.36862808,Phascolarctos cinereus,2125275,17/9/2022,17/9/2022,1830199,INCIDENTAL,Not recorded,100,17619,Koalas,2621,Gympie Regional Council,GRC
152.8635523,-26.13363081,Phascolarctos cinereus,2125276,19/9/2022,19/9/2022,1830200,INCIDENTAL,Not recorded,10,17619,Koalas,2621,Gympie Regional Council,GRC
152.8566739,-26.13176845,Phascolarctos cinereus,2125277,22/9/2022,22/9/2022,1830196,INCIDENTAL,Not recorded,20,17619,Koalas,2621,Gympie Regional Council,GRC
152.8566739,-26.13176845,Phascolarctos cinereus,2125278,22/9/2022,22/9/2022,1830196,INCIDENTAL,Not recorded,20,17619,Koalas,2621,Gympie Regional Council,GRC
152.8566739,-26.13176845,Phascolarctos cinereus,2125279,21/8/2022,21/8/2022,1830195,INCIDENTAL,Not recorded,10,17619,Koalas,2621,Gympie Regional Council,GRC
152.7635921,-26.44402661,Phascolarctos cinereus,2125280,18/9/2022,18/9/2022,1830201,INCIDENTAL,Not recorded,20,17619,Koalas,2621,Gympie Regional Council,GRC
